,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,Cluster_km,SSamp
277,2020-10-8-23,Format1,300,250,75000,Inter226,Web,Mobile,Display,1528,182,181,2,0.64,0.35,0.42,1.1,3.54,0.32,3,0.19052509803682305
278,2020-10-6-4,Format4,120,600,72000,inter230,Video,Mobile,Video,222,56,51,8,0.65,0.35,0.42,15.69,12.75,0.08,2,0.6859056250587209
279,2020-9-9-9,Format4,120,600,72000,Inter220,Web,Mobile,Display,112,32,32,10,0.65,0.35,0.42,31.25,20.31,0.06,2,0.4953235908997716
280,2020-9-7-0,Format4,120,600,72000,Inter220,Web,Mobile,Video,127,27,25,10,0.65,0.35,0.42,40.0,26.0,0.06,2,0.42485946789416906
281,2020-11-16-1,Format4,120,600,72000,Inter222,Video,Desktop,Video,22,17,17,5,0.66,0.35,0.43,29.41,38.82,0.13,2,0.4142134441135374
282,2020-11-16-14,Format4,120,600,72000,Inter221,App,Mobile,Display,70,49,48,8,0.68,0.35,0.44,16.67,14.17,0.08,2,0.6853470376294069
283,2020-9-20-5,Format4,120,600,72000,Inter222,Video,Desktop,Video,251,75,70,13,0.68,0.35,0.44,18.57,9.71,0.05,2,0.6416907693238082
284,2020-9-5-17,Format4,120,600,72000,Inter224,Web,Desktop,Display,232,51,47,14,0.69,0.35,0.45,29.79,14.68,0.05,2,0.5334408579564976
285,2020-9-17-12,Format5,720,300,216000,Inter221,App,Mobile,Video,44,22,19,2,0.69,0.35,0.45,10.53,36.32,0.34,0,0.19882563892538452
286,2020-11-6-18,Format6,336,250,84000,Inter220,Web,Mobile,Display,100,72,59,7,0.7,0.35,0.45,11.86,11.86,0.1,2,0.16373751980907142
287,2020-9-21-0,Format6,336,250,84000,Inter220,Web,Mobile,Video,70,45,37,5,0.71,0.35,0.46,13.51,19.19,0.14,2,0.1926599783108029
288,2020-10-3-23,Format1,300,250,75000,Inter221,App,Mobile,Video,1423,342,337,1,0.71,0.35,0.46,0.3,2.11,0.71,3,0.33039333432358037
289,2020-9-5-19,Format4,120,600,72000,Inter223,Web,Mobile,Display,287,66,63,17,0.72,0.35,0.47,26.98,11.43,0.04,2,0.5628392105835589
290,2020-9-17-5,Format4,120,600,72000,Inter219,Video,Desktop,Display,222,46,43,10,0.73,0.35,0.47,23.26,16.98,0.07,2,0.6229455676198522
291,2020-9-21-5,Format4,120,600,72000,Inter222,Video,Desktop,Display,266,51,47,10,0.73,0.35,0.47,21.28,15.53,0.07,2,0.6511275771918307
292,2020-10-24-9,Format5,720,300,216000,Inter226,Web,Mobile,Display,45,25,18,5,0.72,0.35,0.47,27.78,40.0,0.14,0,0.15523994342364886
293,2020-9-10-13,Format1,300,250,75000,Inter224,Web,Desktop,Display,1797,196,194,1,0.74,0.35,0.48,0.52,3.81,0.74,3,0.3081401387479483
294,2020-9-16-2,Format6,336,250,84000,inter230,Video,Mobile,Video,267,63,63,12,0.75,0.35,0.49,19.05,11.9,0.06,2,0.18367293019506453
295,2020-10-6-20,Format1,300,250,75000,Inter224,Web,Desktop,Display,2217,423,414,1,0.76,0.35,0.49,0.24,1.84,0.76,3,0.3388435222100658
296,2020-10-8-4,Format6,336,250,84000,Inter228,Video,Mobile,Video,179,41,40,8,0.75,0.35,0.49,20.0,18.75,0.09,2,0.20679550166488483
297,2020-10-26-18,Format1,300,250,75000,Inter218,App,Mobile,Video,1585,285,282,1,0.75,0.35,0.49,0.35,2.66,0.75,3,0.32716311485331406
298,2020-11-16-4,Format5,720,300,216000,Inter221,App,Mobile,Display,252,181,158,11,0.75,0.35,0.49,6.96,4.75,0.07,0,0.39776801044925564
299,2020-9-10-20,Format4,120,600,72000,Inter222,Video,Desktop,Video,1503,128,114,17,0.75,0.35,0.49,14.91,6.58,0.04,2,0.5983200814915945
300,2020-9-26-5,Format4,120,600,72000,Inter218,App,Mobile,Display,247,67,65,11,0.75,0.35,0.49,16.92,11.54,0.07,2,0.6740294954876523
301,2020-11-23-13,Format4,120,600,72000,Inter217,Web,Desktop,Display,96,66,62,8,0.76,0.35,0.5,12.9,12.26,0.1,2,0.6822545415983812
302,2020-11-22-22,Format4,120,600,72000,Inter224,Web,Desktop,Video,85,39,38,14,0.78,0.35,0.51,36.84,20.53,0.06,2,0.4667460555287312
303,2020-9-26-3,Format4,120,600,72000,Inter224,Web,Desktop,Display,228,43,40,10,0.79,0.35,0.51,25.0,19.75,0.08,2,0.5807988136217087
304,2020-11-23-20,Format4,120,600,72000,Inter220,Web,Mobile,Display,65,39,36,11,0.82,0.35,0.53,30.56,22.78,0.07,2,0.4850766258495767
305,2020-11-23-8,Format4,120,600,72000,Inter217,Web,Desktop,Display,48,41,40,8,0.82,0.35,0.53,20.0,20.5,0.1,2,0.6146230056352731
306,2020-9-21-3,Format6,336,250,84000,Inter221,App,Mobile,Display,360,45,41,12,0.84,0.35,0.54,29.27,20.49,0.07,2,0.18871541414709672
307,2020-11-17-13,Format4,120,600,72000,Inter217,Web,Desktop,Display,53,39,37,8,0.87,0.35,0.56,21.62,23.51,0.11,2,0.5594347280881962
308,2020-11-17-18,Format4,120,600,72000,Inter225,Video,Mobile,Display,90,65,63,12,0.87,0.35,0.57,19.05,13.81,0.07,2,0.6724390545305724
309,2020-11-23-12,Format4,120,600,72000,Inter221,App,Mobile,Video,88,54,54,11,0.89,0.35,0.58,20.37,16.48,0.08,2,0.655112854019364
310,2020-9-16-1,Format4,120,600,72000,Inter220,Web,Mobile,Video,428,87,81,14,0.91,0.35,0.59,17.28,11.23,0.06,2,0.668825819333084
311,2020-10-4-5,Format4,120,600,72000,Inter220,Web,Mobile,Video,283,78,77,14,0.92,0.35,0.6,18.18,11.95,0.07,2,0.6704912442735846
